year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2017,"Australia","AUS","Argentina","ARG",.0098042
2017,"Australia","AUS","Australia","AUS",.2781692
2017,"Australia","AUS","Brazil","BRA",.0110278
2017,"Australia","AUS","Canada","CAN",.0421832
2017,"Australia","AUS","European Monetary Union","EMU",.1405631
2017,"Australia","AUS","France","FRA",.0285337
2017,"Australia","AUS","Germany","DEU",.0169298
2017,"Australia","AUS","Indonesia","IDN",.008194
2017,"Australia","AUS","Italy","ITA",.0452446
2017,"Australia","AUS","Japan","JPN",.0726544
2017,"Australia","AUS","Korea, Republic of","KOR",.0080814
2017,"Australia","AUS","Mexico","MEX",.0236461
2017,"Australia","AUS","Netherlands","NLD",.0072722
2017,"Australia","AUS","Poland","POL",.0213313
2017,"Australia","AUS","Spain","ESP",.0174754
2017,"Australia","AUS","Sweden","SWE",.008922
2017,"Australia","AUS","United Kingdom","GBR",.0309173
2017,"Australia","AUS","United States","USA",.271051
2017,"Canada","CAN","Argentina","ARG",.0027861
2017,"Canada","CAN","Australia","AUS",.0068892
2017,"Canada","CAN","Brazil","BRA",.0038168
2017,"Canada","CAN","Canada","CAN",.8237334
2017,"Canada","CAN","Colombia","COL",.0018348
2017,"Canada","CAN","European Monetary Union","EMU",.0227876
2017,"Canada","CAN","France","FRA",.003528
2017,"Canada","CAN","Germany","DEU",.0040701
2017,"Canada","CAN","Indonesia","IDN",.0043993
2017,"Canada","CAN","Italy","ITA",.005934
2017,"Canada","CAN","Japan","JPN",.0071498
2017,"Canada","CAN","Mexico","MEX",.007979
2017,"Canada","CAN","New Zealand","NZL",.0030851
2017,"Canada","CAN","Philippines","PHL",.0017867
2017,"Canada","CAN","Poland","POL",.0018931
2017,"Canada","CAN","Spain","ESP",.0044292
2017,"Canada","CAN","Turkey","TUR",.0020813
2017,"Canada","CAN","United Kingdom","GBR",.004716
2017,"Canada","CAN","United States","USA",.0766124
2017,"Denmark","DNK","Argentina","ARG",.0268082
2017,"Denmark","DNK","Brazil","BRA",.0431256
