data,BPAC5,RAPT4,CMIG4,MELK3,DIRR3,PLPL3,BPAN4,BRAP4,27.635.189/0001-45,34.964.555/0001-75,BRKM5,LWSA3,MYPK3,BRDT3,CSNA3,RECV3,IFCM3,WEST3,BTOW3,BBAS3,ECOR3,TIMS3,HYPE3,EMBR3,GMAT3,CMIG3,RRRP3,PETR4,GOAU4,HAPV3,SUZB3,BRFS3,PETR3,LAME4,MRFG3,TGMA3,SOMA3,BBDC3,AESB3,JSLG3,SBFG3,PNVL3,LAME3,ESPA3,LIGT3,RAIL3,AZUL4,AERI3,GNDI3,LREN3,BBDC4,GOAU3,PARD3,CRFB3,MULT3,ALSO3,MOVI3,GGBR4,MDIA3,EQTL3,INTB3,BRAP3,ASAI3,ITUB4,VALE3,PSSA3,PETZ3,ENEV3,CURY3,CVCB3,40.365.982/0001-30,10.406.511/0001-61,AMER3,MGLU3,VVAR3,CESP6,CYRE3,VAMO3,RADL3,JBSS3,SMFT3,B3SA3,IRBR3,PCAR3,ABEV3,TUPY3,POMO4,BRKM3,VIIA3,ELET6,LEVE3,RENT3,DASA3,LVTC3,ARZZ3,RANI3,MRVE3,CEAB3,IGTA3,EZTC3,VBBR3,NTCO3,SYNE3,STBP3,RDOR3,TOTS3,CMIN3,CCRO3,BRML3,TEND3,ABCB4,COGN3,MTRE3,HBOR3,YDUQ3,ARML3,USIM5,VIVA3,10.406.600/0001-08,ANIM3,LJQQ3,ITUB3,AURE3,WEGE3,BRPR3,HBSA3,EVEN3,UGPA3,NEOE3,TCSA3,ELET3
2021-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-01-03,96.153846154,99.0800367986,98.2456140352,99.4871794873,95.5940204567,95.6923076922,95.7865168532,98.6394557823,100.0,100.0,98.6291861876,96.8844984802,97.7198697072,100.0,98.0792316929,93.9572192515,101.714285714,89.7142857143,100.0,99.8960138649,97.4043715847,96.0456273761,97.0993986558,101.692183723,96.3515754561,97.7321814256,101.788375559,102.249560632,99.2091388402,96.8208092486,99.1349193146,103.108348135,102.671009772,99.4906621392,96.375169914,94.3058221366,93.4014139829,102.223594812,98.4643179771,97.8751660027,93.5584184805,95.4954954958,98.4771573604,92.9086538462,94.6382978728,97.9166666668,100.246305419,100.0,97.3487986744,94.435351882,102.498698595,99.9059266228,98.0829015545,93.9016393448,93.2158119659,95.1985226223,96.6413181241,100.0,98.3915260889,97.6116762492,95.7454415445,99.6326905421,98.1481481485,102.759604153,100.051308363,95.9847036327,96.6401954798,94.9823321555,95.2857142858,95.9016393443,100.0,99.1453497889,98.2267257758,93.0747922438,100.0,97.1176197118,92.0152091255,94.5742904841,95.6790123456,95.7839262186,99.0,96.6617190057,97.263681592,95.9502991255,99.4163424125,102.656641604,97.0491803279,98.8546255508,94.8571428571,97.8491366253,101.602903804,96.0188679245,96.3248369887,92.8738317757,94.0862316009,95.0724637682,94.2499999992,96.0975609756,100.0,94.8655256726,95.0934579438,101.848210775,100.833333333,102.021772939,98.1039482489,96.0195530723,104.599406528,98.7057808453,96.1492178099,94.6738479952,99.5646049433,97.1544715447,94.8626045401,94.4444444444,97.2762645917,92.1725849564,98.7467018475,95.4009433961,96.9840726794,94.2857142857,95.799821269,101.613068133,100.0,97.0891449362,96.853625171,98.2608695652,95.9028831563,97.1114167815,97.8395061729,94.1828254848,97.6653696497
2022-01-04,94.4230769232,97.8840846373,98.1693363844,98.9743589745,92.2108575932,93.8461538462,88.2958801494,99.5598239296,100.0,100.0,98.004511539,90.3495440729,98.3061889256,100.0,96.598639456,95.3475935831,102.857142857,84.5714285714,100.0,100.0,95.7650273224,97.4904942965,96.568800849,101.611603546,96.5174129353,94.6544276458,102.771982116,102.636203866,101.230228471,95.472061657,101.297621028,99.5559502664,103.973941368,96.2648556876,97.4626189398,89.3793985923,90.5734485469,102.701237964,97.4706413729,92.9614873839,90.626388272,90.5405405404,94.7546531303,87.8605769231,92.0851063829,97.8040540544,100.164203612,97.2519083969,96.7854183927,93.2896890345,103.170740339,100.094073377,96.2176165801,93.6393442623,92.7884615387,93.628808864,95.1204055767,101.393983859,97.9207532365,96.7271118972,92.4204504827,99.8622589534,98.1481481485,105.673753783,98.8712160083,94.8852772469,88.0268784361,91.2367491166,93.8571428572,89.6423248882,100.0,98.7563082646,94.8701709945,91.5512465374,100.0,94.70013947,90.3675538658,90.4006677796,96.0905349793,95.4940711463,94.4375,98.735617827,94.5273631841,96.3184537503,99.2866407263,101.253132832,96.0655737705,96.9162995596,90.0952380952,95.0923962437,106.792121728,96.5660377359,91.4641375222,82.4182242992,91.3117103035,93.7681159421,91.2499999998,89.756097561,100.0,91.7359413203,94.5327102802,95.2811639797,101.388888889,93.7791601865,95.6948472006,92.1438547486,112.017804154,98.6194995681,95.3068592058,92.8785158588,100.781149956,93.0894308943,87.2162485066,90.5982905984,95.6712062256,87.2470408555,97.9551451192,91.3128930819,94.455673763,88.3333333333,88.6505808758,103.867640852,100.0,96.6040024256,94.2544459644,90.1449275362,94.3854324734,93.4662998622,96.2345679015,89.1966759003,95.5701885662
2022-01-05,86.7307692308,94.3882244714,95.0419527079,97.1794871794,85.9952793081,86.4615384615,88.5767790258,99.7999199678,100.0,100.0,93.3020996008,78.7993920973,94.0716612382,100.0,94.5475857017,87.7005347595,101.428571429,80.0,100.0,98.3362218373,94.8087431694,96.577946768,94.83551468,95.5680902498,94.0298507463,91.7926565873,95.4098360656,98.6643233743,99.2091388402,90.1734104046,100.149725503,100.79928952,99.7068403908,92.0203735144,96.6923425465,85.1567498401,81.9324430479,102.021097315,94.9412827467,90.8366533865,87.6499333629,82.8078078081,90.8629441624,82.3317307692,89.7021276595,93.5247747751,91.789819376,90.0763358779,91.9469759736,88.7479541736,102.441250255,98.1185324553,91.7098445596,91.5409836066,89.1025641023,88.4579870728,88.6565272493,99.7065297138,94.2722636329,95.4444935869,88.9882016446,100.826446281,92.5154320991,103.667290103,99.8075936379,92.2084130022,84.1172877215,87.6325088339,86.5714285715,83.3830104322,100.0,96.367762365,90.6269791008,88.91966759,100.0,92.9335192934,88.022813688,83.4724540902,91.6460905351,95.2832674571,89.0625,96.6617190057,90.5472636816,92.8670041417,97.3411154345,95.2380952381,95.737704918,93.1277533039,87.0476190476,94.6076946381,99.7850249135,93.7735849056,89.0634262004,81.308411215,86.9219747298,91.3043478262,87.6666666667,86.6666666667,100.0,87.9706601468,90.3738317756,90.8769170273,96.25,87.4027993778,89.2259647557,88.0586592177,103.264094956,97.15271786,90.734055355,89.5870736086,96.1710846464,86.9918699187,79.9283154122,85.2564102565,91.9747081715,80.488736159,92.2823218996,86.0062893082,90.2574465377,83.0952380952,84.0929401251,101.770363904,100.0,91.5100060643,89.7400820793,85.2173913043,89.9848254932,90.9903713894,94.3827160499,81.9944598338,95.181083508
2022-01-06,84.5746844985,95.6761729535,92.9824561404,95.641025641,84.1070023604,84.9230769232,89.5131086139,102.641056422,100.0,100.0,91.7751171265,77.0516717325,93.3550488604,100.0,93.3375056797,87.4866310164,100.0,76.0,100.0,99.1334488737,94.9453551913,95.8935361216,95.8259639192,96.1724415794,94.3615257048,87.4730021598,94.8137108793,98.5940246046,98.945518453,93.5452793834,99.3511894859,107.904085258,99.609120521,93.5483870968,96.6923425465,83.3653230965,84.446190102,103.13405474,93.4959349597,93.4926958832,87.694358063,82.7327327324,93.062605753,82.5721153846,87.2340425534,90.6531531532,94.6223316913,88.5496183206,95.3272576637,93.2896890345,103.900230422,97.5540921919,93.0569948185,93.5737704923,89.155982906,87.1191135735,88.3396704689,99.7432134996,93.2522557868,94.64838567,85.5202002146,103.581267218,89.4290123463,105.769299672,101.821446896,91.3001912049,85.7055589496,86.2897526502,87.8571428573,84.2771982116,100.0,96.8980895961,92.6535782141,86.5650969529,100.0,91.4458391446,87.2623574146,87.5626043406,89.7119341562,95.3359683794,93.5,99.0061263698,89.552238806,89.3695352045,95.784695201,95.6892230576,95.0819672131,90.7665198239,83.0476190476,94.516813087,100.016391318,94.1320754717,88.9448725548,80.4322429903,88.5111371631,89.1304347826,87.7499999997,84.0650406504,100.0,88.850855746,89.7663551399,89.854502556,93.0555555555,85.8475894245,90.185143877,90.7821229047,101.18694362,94.9956859363,88.3273164862,87.7917414722,97.6437443975,84.9593495935,81.3620071684,85.47008547,91.8774319068,77.9305078274,92.4142480212,87.0283018868,89.775126934,84.6428571429,81.7694369973,103.605481233,100.0,91.4796846574,89.0560875514,83.768115942,90.7435508346,89.6836313615,93.2732606984,74.7922437673,95.0314277162
2022-01-07,84.5746844985,101.103955842,93.516399695,94.8717948719,83.7136113302,93.5384615385,90.3558052431,106.682673069,,,91.5148360228,75.3039513678,93.6807817593,,97.2904337509,92.0855614978,99.8857142857,80.0,,99.2374350089,95.6284153005,94.5247148288,96.5334276619,96.9782433521,94.5273631841,91.9006479479,101.341281669,99.0509666077,100.439367311,95.5684007707,98.6857428048,109.236234458,100.423452769,88.455008489,95.9220661532,83.5572616761,82.4823252163,103.566871517,93.1345980127,90.8366533865,90.404264771,83.2582582584,87.8172588832,81.0096153846,85.9574468087,89.3018018019,98.1116584565,90.3816793894,96.3711681856,94.0671031098,105.411317023,98.8711194731,93.0569948185,91.5409836066,88.9957264957,86.057248384,86.6286438526,100.623624358,92.6637897213,94.4272445819,85.8062209509,109.090909091,87.6543209879,108.110173965,107.747562853,92.3040152964,86.6218692734,84.3109540636,87.0000000001,85.9165424739,,98.0011912033,87.7137428751,86.1495844875,,91.8177591818,88.4664131815,85.141903172,88.3950617285,92.859025033,94.375,101.350533733,90.7960199005,87.2066267832,94.2282749676,96.9423558897,100.983606557,89.691629956,79.4285714286,91.3662526508,103.453835038,93.3396226415,86.9590989923,82.3014018691,87.8077373975,90.4347826088,88.1666666664,84.0650406504,,88.1662591685,89.5794392524,86.9445536768,93.8888888888,86.9362363918,91.8135177338,87.6396648043,103.56083086,97.15271786,87.6052948255,89.3476959904,98.3480599314,84.1463414634,80.4062126644,86.1111111112,91.4883268483,77.8923253151,96.8337730876,86.8710691822,90.2226068983,84.5238095238,80.0714924039,105.230870868,100.0,89.1752577319,88.2352941176,84.347826087,90.5918057663,89.0646492435,91.4675700704,76.4542936288,90.8709967076
2022-01-10,83.602561688,98.436062558,92.6773455379,99.7435897436,81.8253343827,89.2307692307,89.3258426963,106.642657063,,,92.972410203,74.4680851064,92.9641693815,,100.517313809,90.9625668453,98.0,74.5714285714,,99.7573656845,95.0819672131,93.6121673002,94.6586487444,95.6486704271,91.5422885572,89.7408207342,102.861400894,98.4534270651,100.439367311,90.5587668593,98.4528364664,104.440497336,100.06514658,86.2478777589,97.2360670594,82.4056301986,80.5970149254,104.927152814,92.5022583564,86.8525896415,87.9609062636,83.7837837837,85.448392555,76.3221153846,83.6595744682,88.1193693698,97.0032840722,92.3664122138,92.0132560066,93.0441898527,105.776062064,99.3414863593,93.6269430051,92.1967213116,87.8205128207,83.4718374884,84.9176172369,101.173881145,91.2122400943,96.0636886333,83.9828387556,109.090909091,87.1913580246,109.113405805,106.464853771,91.2523900575,85.5222968848,84.5229681979,81.7142857143,86.3636363636,,97.2660358633,85.9404686512,79.5013850416,,97.8614597861,86.6920152088,83.9732888147,86.6666666666,94.5981554676,92.1875,100.809516649,88.0597014925,89.0473999078,95.0064850843,97.2431077694,97.7049180328,91.101321586,76.380952381,89.1850954258,99.4875538224,91.5094339622,84.2027267338,78.1542056073,84.3819200209,91.3043478262,87.083333333,85.0406504065,,86.0635696822,88.9719626167,85.0570192688,90.5555555556,82.4261275272,88.0437207227,85.5446927375,103.709198813,94.823123382,85.4392298435,85.8767205266,101.357408119,81.3008130081,79.3309438472,82.264957265,87.8404669263,75.5250095458,101.451187335,84.5125786162,88.8644145484,79.880952381,80.1608579088,105.807622029,100.0,86.5979381444,85.0889192886,80.8695652174,91.3505311077,87.8954607977,89.9732054136,72.5761772853,88.2370547741
2022-01-11,85.7412318708,97.6080956765,95.3470633105,98.7179487179,82.2187254135,95.3846153845,91.0112359547,109.203681473,,,91.8618774943,75.1519756839,92.703583062,,100.275297805,94.0641711231,97.6571428571,74.8571428571,,100.173310225,95.6284153005,94.220532319,94.4817828088,94.6011281225,93.3665008292,91.0907127426,108.196721311,101.37082601,102.899824253,95.9537572254,99.0351023124,103.108348135,104.201954397,89.9830220713,96.4204802901,83.1733845169,82.875098193,105.978279272,96.2059620603,86.9853917663,89.7823189693,87.5375375378,89.847715736,74.5192307692,85.7021276597,90.09009009,100.574712644,93.1297709923,96.9511184756,95.171849427,105.932381368,100.846660395,96.8911917101,93.3770491804,90.5982905984,84.8568790396,86.1216730039,103.448275862,88.7406826208,98.2308712955,84.3046120843,111.386593205,88.348765432,111.549825987,108.49153412,91.1567877628,91.5699450217,85.6537102473,86.4285714287,86.6616989568,,99.0144165125,88.8220392654,81.3019390582,,104.230590423,87.389100127,85.3088480801,88.4362139919,94.0974967061,96.0,101.080025191,89.3034825871,89.8757478138,95.2010376135,99.3483709273,100.327868852,89.885462555,76.9523809524,90.4877309908,101.173223339,92.8301886792,87.3147599289,81.9509345794,86.7396118276,89.2753623189,87.9166666665,88.7804878049,,87.2860635698,90.7476635512,90.4443570586,89.8611111111,82.7371695178,91.032790542,88.3729050276,103.857566766,95.1682484898,87.2442839952,87.4925194494,101.293379434,82.9268292683,81.0035842294,83.5470085469,90.6128404671,75.7922871327,107.585751979,85.966981132,90.8253583104,81.1904761905,83.9142091153,107.328147816,100.0,88.0533656762,87.1409028728,85.5072463768,92.1092564492,89.339752407,91.4053048767,74.7922437673,89.314576474
2022-01-12,89.6297231121,101.103955842,96.7200610221,99.4871794873,83.2415420933,96.9230769231,90.6367041195,111.004401761,,,92.2262710394,72.5683890578,96.4169381111,,106.003009908,99.0374331551,100.857142857,81.4285714286,,101.143847487,99.1803278689,94.9809885931,94.6586487444,93.1103948429,95.8540630182,93.6825053996,107.540983607,104.46397188,105.536028119,100.192678227,102.512061221,105.861456483,107.654723127,95.0764006791,97.9610330766,85.8605246324,87.117046347,105.05081475,99.6386630539,90.0398406375,94.5357618834,90.0900900901,94.2470389171,80.6490384615,88.255319149,91.9481981983,105.13136289,91.603053435,101.06048053,100.859247136,105.15078485,102.0696143,99.0673575131,95.016393443,96.5277777775,89.3813481069,88.1495563999,105.832721937,90.2706943901,100.619195046,86.914551305,112.029384757,91.0493827162,111.07209654,109.671626475,92.7342256217,94.9908368968,88.4098939929,92.0,88.8971684054,,100.831963644,93.3502216593,87.3961218837,,106.229660623,89.9873257288,90.2337228715,90.9465020576,95.9947299078,98.75,104.686805751,90.2985074627,92.7749654856,96.4980544747,103.007518797,102.295081967,90.8370044053,78.2857142857,94.1532868827,106.759069384,93.6226415095,91.8197984588,84.1121495329,89.4359775955,93.6231884059,90.9999999999,91.7073170732,,89.7799511002,95.4205607477,90.4050334251,92.9166666667,86.6251944012,91.9027436984,88.3729050276,108.456973294,98.6194995681,92.4187725631,88.8090963495,99.6286336279,83.3333333333,82.1983273597,88.4615384616,91.0505836577,82.8942344406,108.443271768,89.033018868,93.4641011159,82.9761904762,85.5227882038,107.38057974,100.0,91.631291692,88.3720930233,85.7971014493,94.0819423369,92.8473177442,94.9544209377,77.8393351801,94.013768333
2022-01-13,90.4074213604,99.5400183993,96.8726163235,97.4358974361,83.5562549176,97.2307692308,90.0749063667,109.56382553,,,90.3175429463,66.4893617021,96.0260586321,,105.5996499,99.7860962569,99.9428571429,83.7142857143,,102.772963605,98.3606557377,96.6539923956,95.8259639192,89.202256245,97.0149253731,92.4946004321,106.855439642,106.572934974,103.163444639,97.9768786127,104.02595242,106.61634103,110.260586319,94.5670628183,103.035795198,83.49328215,86.7242733703,106.225603144,98.4643179771,90.1726427624,92.7587738783,87.9129129133,94.5854483926,77.4038461538,89.2765957448,91.5540540543,106.937602627,92.5190839694,98.6246893124,101.309328969,107.026616493,100.846660395,95.0777202074,93.1147540985,96.794871795,90.5355493996,87.6425855513,103.705062362,90.9768536683,99.9115435645,86.4140150162,110.101010101,92.7469135808,113.126333164,108.004104669,93.1166347991,94.074526573,86.0070671378,93.2857142858,89.0461997019,,100.683432822,93.6985433818,84.3490304709,,104.927940493,89.9239543723,85.3923205342,86.4197530862,97.6548089591,93.125,104.506466723,87.8109452736,90.2899217671,97.2114137484,103.709273183,101.31147541,89.5154185022,76.0,94.0926991821,106.329388919,93.3018867925,88.7670420865,84.1121495329,89.0712517912,90.1449275363,91.1666666668,91.2195121951,,89.5354523229,94.0654205604,85.8041683051,93.0555555555,88.3359253498,92.3488735223,88.0586592177,106.231454006,98.3606557375,94.4645006016,89.0484739677,100.525035216,84.5528455285,82.9151732378,86.5384615384,90.4182879378,82.0542191677,107.981530343,88.5613207546,92.5486859123,81.5476190476,83.0205540661,108.743809756,100.0,87.7804730139,87.2777017783,84.6376811594,93.1714719272,92.022008253,94.0204430268,75.3462603878,94.043699491
